ID,usd_goal_real,diff_days,deadline_year,deadline_month,deadline_day,deadline_weekday,launched_year,launched_month,launched_day,launched_weekday,launched_hour,country_recoded,main_category_recoded,subcategory_recoded,name_length,recoded_target
1506530197,3500.0,30,2013,6,14,4,2013,5,15,2,17,22,10,23,60.0,1
1138982996,20000.0,39,2012,7,22,6,2012,6,13,2,0,22,6,5,28.0,0
727555129,30000.0,30,2014,11,9,6,2014,10,10,4,15,22,8,106,20.0,1
372347183,4000.0,31,2011,6,7,1,2011,5,7,5,3,22,0,98,21.0,1
14687113,1500.0,30,2012,7,21,5,2012,6,21,3,19,22,6,55,39.0,1
1578790124,800.0,51,2016,1,31,6,2015,12,11,4,1,22,12,54,39.0,1
1451517945,1791.34,25,2015,12,14,0,2015,11,19,3,13,3,4,113,59.0,1
728043726,15000.0,30,2015,10,14,2,2015,9,14,0,14,22,7,58,49.0,1
1903739793,3416.76,28,2014,5,18,6,2014,4,20,6,0,19,8,136,29.0,0
316300682,7500.0,32,2014,4,1,1,2014,2,28,4,1,22,11,104,19.0,0
979697950,4094.39,25,2016,11,4,4,2016,10,10,0,19,3,0,70,28.0,1
1374775284,3200.0,30,2016,2,15,0,2016,1,16,5,4,22,12,19,56.0,1
1950842903,1500.0,30,2014,10,4,5,2014,9,4,3,7,22,9,111,16.0,0
2010503209,27000.0,41,2015,11,24,1,2015,10,14,2,16,22,11,56,29.0,0
367725822,5136.02,30,2014,7,6,6,2014,6,6,4,20,9,14,107,26.0,1
1867894750,1057.43,30,2017,9,3,6,2017,8,4,4,20,4,10,42,28.0,0
1558887229,6500.0,54,2010,11,5,4,2010,9,12,6,6,22,6,39,46.0,1
1357780210,3985.18,32,2016,8,31,2,2016,7,30,5,18,9,14,141,18.0,0
2013559906,6583.54,30,2016,7,23,5,2016,6,23,3,20,9,12,115,23.0,0
2045002350,4200.0,45,2012,7,13,4,2012,5,29,1,20,22,1,26,8.0,0
484383783,1000.0,20,2011,7,20,2,2011,6,30,3,20,22,14,141,48.0,1
1575901732,30000.0,60,2014,12,27,5,2014,10,28,1,15,22,13,151,32.0,0
853997042,2000.0,30,2011,11,20,6,2011,10,21,4,18,22,4,65,32.0,1
370446494,22.9,30,2014,8,7,3,2014,7,8,1,22,3,0,96,16.0,1
1788457681,2000.0,30,2014,12,20,5,2014,11,20,3,21,22,2,32,45.0,0
486262379,3500.0,20,2012,7,1,6,2012,6,11,0,23,22,2,32,15.0,0
490411761,1177.8,45,2014,7,29,1,2014,6,14,5,8,9,13,138,56.0,0
1981217135,6000.0,32,2013,9,23,0,2013,8,22,3,19,22,14,141,8.0,1
48403203,227.24,30,2015,10,8,3,2015,9,8,1,22,8,2,32,46.0,0
835726362,1880.05,37,2016,12,31,5,2016,11,24,3,4,15,6,129,32.0,1
1024002077,600.0,19,2012,6,2,5,2012,5,14,0,20,22,10,125,37.0,1
271717101,1050.0,30,2016,2,5,4,2016,1,6,2,7,22,6,129,19.0,1
6400870,2500.0,30,2011,10,7,4,2011,9,7,2,20,22,10,125,45.0,0
808157797,3422.31,30,2017,6,14,2,2017,5,15,0,0,1,8,106,19.0,0
615007137,857.18,15,2014,7,2,2,2014,6,17,1,21,9,6,153,13.0,0
1696498837,15000.0,30,2016,1,3,6,2015,12,4,4,23,22,7,51,55.0,0
1694365723,50000.0,45,2015,5,7,3,2015,3,23,0,17,22,10,90,19.0,0
1406650111,26000.0,40,2013,7,23,1,2013,6,13,3,23,22,1,26,8.0,0
