ID,usd_goal_real,diff_days,deadline_year,deadline_month,deadline_day,deadline_weekday,launched_year,launched_month,launched_day,launched_weekday,country_recoded,main_category_recoded,subcategory_recoded,name_length,recoded_target
604002501,3000.0,30,2015,7,17,4,2015,6,17,2,22,13,8,18.0,0
1849939452,7000.0,30,2014,10,3,4,2014,9,3,2,22,9,146,15.0,0
1017428577,3000.0,30,2015,4,25,5,2015,3,26,3,22,10,68,21.0,0
180741140,6000.0,31,2017,6,20,1,2017,5,20,5,22,6,93,35.0,1
826209295,35000.0,35,2013,10,18,4,2013,9,13,4,22,7,58,57.0,0
1791314910,22561.9,60,2015,8,21,4,2015,6,22,0,17,8,148,17.0,0
979156609,432.72,60,2017,1,5,3,2016,11,6,6,9,10,86,21.0,0
1587685917,16000.0,30,2017,2,12,6,2017,1,13,4,22,10,90,33.0,1
1246604285,10000.0,60,2017,9,24,6,2017,7,26,2,22,8,84,7.0,0
1356495138,2000.0,30,2014,6,29,6,2014,5,30,4,22,6,39,59.0,0
1221917896,50000.0,30,2014,12,17,2,2014,11,17,0,22,13,61,52.0,1
1743181997,13366.97,30,2014,2,14,4,2014,1,15,2,9,8,136,48.0,1
987997189,10000.0,37,2011,12,19,0,2011,11,12,5,22,6,129,20.0,0
135785392,9000.0,30,2014,8,21,3,2014,7,22,1,22,13,8,49.0,0
733462892,1000.0,21,2011,2,15,1,2011,1,25,1,22,6,93,17.0,0
598373568,1200.0,30,2012,4,5,3,2012,3,6,1,22,6,39,38.0,1
980095986,5000.0,30,2013,6,30,6,2013,5,31,4,22,5,52,19.0,0
559683129,1625.0,33,2017,11,27,0,2017,10,25,2,22,5,121,41.0,0
1082237073,600.0,30,2013,5,4,5,2013,4,4,3,22,0,70,28.0,1
714514334,1250.0,40,2011,7,19,1,2011,6,9,3,22,0,98,56.0,1
11316133,7000.0,49,2014,5,10,5,2014,3,22,5,22,5,52,59.0,0
952415244,8000.0,30,2011,1,6,3,2010,12,7,1,22,6,129,39.0,1
722302944,785.55,24,2015,2,2,0,2015,1,9,4,1,13,67,57.0,0
